name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
Dressed to Kill,R,Crime,1980,"July 25, 1980 (United States)",7.1,37000,BRIAN DE PALMA,Brian De Palma,Michael Caine,UNITED STATES,6500000,31899000.0,Filmways Pictures,"104.0,"
Somewhere in Time,PG,Drama,1980,"October 3, 1980 (United States)",7.2,27000,JEANNOT SZWARC,Richard Matheson,Christopher Reeve,UNITED STATES,5100000,9709597.0,Rastar Pictures,"103.0,"
Fame,R,Drama,1980,"May 16, 1980 (United States)",6.6,21000,ALAN PARKER,Christopher Gore,Eddie Barth,UNITED STATES,0,21202829.0,Metro-Goldwyn-Mayer (MGM),"134.0,"
9 to 5,PG,Comedy,1980,"December 19, 1980 (United States)",6.9,29000,COLIN HIGGINS,Patricia Resnick,Jane Fonda,UNITED STATES,10000000,103300686.0,IPC Films,"109.0,"
The Fog,R,Horror,1980,"February 8, 1980 (United States)",6.8,66000,JOHN CARPENTER,John Carpenter,Adrienne Barbeau,UNITED STATES,1000000,21448782.0,AVCO Embassy Pictures,"89.0,"
Stir Crazy,R,Comedy,1980,"December 12, 1980 (United States)",6.8,26000,SIDNEY POITIER,Bruce Jay Friedman,Gene Wilder,UNITED STATES,0,101300000.0,Columbia Pictures,"111.0,"
Cruising,R,Crime,1980,"February 15, 1980 (United States)",6.5,20000,WILLIAM FRIEDKIN,William Friedkin,Al Pacino,WEST GERMANY,11000000,19814523.0,Lorimar Film Entertainment,"102.0,"
Heaven's Gate,R,Adventure,1980,"April 24, 1981 (United States)",6.8,14000,MICHAEL CIMINO,Michael Cimino,Kris Kristofferson,UNITED STATES,44000000,3484523.0,Partisan Productions,"219.0,"
The Final Countdown,PG,Action,1980,"August 1, 1980 (United States)",6.7,22000,DON TAYLOR,Thomas Hunter,Kirk Douglas,UNITED STATES,12000000,16647800.0,Bryna Productions,"103.0,"
Xanadu,PG,Fantasy,1980,"August 8, 1980 (United States)",5.3,12000,ROBERT GREENWALD,Richard Christian Danus,Olivia Newton-John,UNITED STATES,20000000,22762571.0,Universal Pictures,"96.0,"
Urban Cowboy,PG,Drama,1980,"June 6, 1980 (United States)",6.4,14000,JAMES BRIDGES,Aaron Latham,John Travolta,UNITED STATES,0,46918287.0,Paramount Pictures,"132.0,"
Altered States,R,Horror,1980,"December 25, 1980 (United States)",6.9,33000,KEN RUSSELL,Paddy Chayefsky,William Hurt,UNITED STATES,0,19853892.0,Warner Bros.,"102.0,"
Little Darlings,R,Comedy,1980,"March 21, 1980 (United States)",6.5,5100,RON MAXWELL,Kimi Peck,Tatum O'Neal,UNITED STATES,0,34326249.0,Stephen Friedman/Kings Road Productions,"96.0,"
Brubaker,R,Crime,1980,"June 20, 1980 (United States)",7.2,17000,STUART ROSENBERG,W.D. Richter,Robert Redford,UNITED STATES,9000000,37121708.0,Twentieth Century Fox,"131.0,"
American Gigolo,R,Crime,1980,"February 1, 1980 (United States)",6.2,22000,PAUL SCHRADER,Paul Schrader,Richard Gere,UNITED STATES,4800000,22743674.0,Paramount Pictures,"117.0,"
My Bodyguard,PG,Comedy,1980,"September 26, 1980 (United States)",7.1,8900,TONY BILL,Alan Ormsby,Chris Makepeace,UNITED STATES,0,22482952.0,Twentieth Century Fox,"102.0,"
Prom Night,R,Horror,1980,"July 18, 1980 (United States)",5.4,16000,PAUL LYNCH,William Gray,Leslie Nielsen,CANADA,0,14796236.0,Guardian Trust Company,"92.0,"
Smokey and the Bandit II,PG,Action,1980,"August 15, 1980 (United States)",5.3,15000,HAL NEEDHAM,Hal Needham,Burt Reynolds,UNITED STATES,0,66132626.0,Universal Pictures,"100.0,"
Cattle Annie and Little Britches,PG,Drama,1980,"April 24, 1981 (United States)",6.1,604,LAMONT JOHNSON,David Eyre,Scott Glenn,UNITED STATES,5100000,534816.0,Cattle Annie Productions,"97.0,"
Seems Like Old Times,PG,Comedy,1980,"December 19, 1980 (United States)",6.7,9100,JAY SANDRICH,Neil Simon,Goldie Hawn,UNITED STATES,0,43995918.0,Rastar Films,"102.0,"
Private Benjamin,R,Comedy,1980,"October 10, 1980 (United States)",6.2,24000,HOWARD ZIEFF,Nancy Meyers,Goldie Hawn,UNITED STATES,10000000,69847348.0,Warner Bros.,"109.0,"
The Hollywood Knights,R,Comedy,1980,"May 30, 1980 (United States)",6.3,4300,FLOYD MUTRUX,Floyd Mutrux,Tony Danza,UNITED STATES,4000000,10000000.0,PolyGram Filmed Entertainment,"91.0,"
Motel Hell,R,Comedy,1980,"October 24, 1980 (United States)",6.0,11000,KEVIN CONNOR,Robert Jaffe,Rory Calhoun,UNITED STATES,3000000,6342668.0,Camp Hill,"101.0,"
The Jazz Singer,PG,Drama,1980,"December 19, 1980 (United States)",5.9,4000,RICHARD FLEISCHER,Samson Raphaelson,Laurence Olivier,UNITED STATES,0,27118000.0,EMI Films,"115.0,"
Coal Miner's Daughter,PG,Biography,1980,"March 7, 1980 (United States)",7.5,17000,MICHAEL APTED,Thomas Rickman,Sissy Spacek,UNITED STATES,0,67182787.0,Universal Pictures,"124.0,"
The Watcher in the Woods,PG,Family,1980,"October 9, 1981 (United States)",6.3,5700,JOHN HOUGH,Brian Clemens,Bette Davis,UNITED STATES,0,5000000.0,Walt Disney Productions,"84.0,"
The Stunt Man,R,Action,1980,"June 27, 1980 (United States)",7.1,9000,RICHARD RUSH,Lawrence B. Marcus,Peter O'Toole,UNITED STATES,3500000,7063886.0,Melvin Simon Productions,"131.0,"
Where the Buffalo Roam,R,Biography,1980,"April 25, 1980 (United States)",6.6,11000,ART LINSON,Hunter S. Thompson,Peter Boyle,UNITED STATES,0,6659377.0,Universal Pictures,"99.0,"
The Awakening,R,Horror,1980,"October 31, 1980 (United States)",4.8,2000,MIKE NEWELL,Allan Scott,Charlton Heston,UNITED KINGDOM,0,8415112.0,EMI Films,"101.0,"
Cheech and Chong's Next Movie,R,Comedy,1980,"July 18, 1980 (United States)",6.1,12000,TOMMY CHONG,Tommy Chong,Cheech Marin,UNITED STATES,0,41675194.0,Universal Pictures,"99.0,"
The Island,R,Action,1980,"June 13, 1980 (United States)",5.3,3900,MICHAEL RITCHIE,Peter Benchley,Michael Caine,UNITED STATES,22000000,15716828.0,Universal Pictures,"109.0,"
The Nude Bomb,PG,Action,1980,"May 9, 1980 (United States)",5.1,3100,CLIVE DONNER,Mel Brooks,Don Adams,UNITED STATES,15000000,14662035.0,Universal Pictures,"94.0,"
Stardust Memories,PG,Comedy,1980,"September 26, 1980 (United States)",7.3,22000,WOODY ALLEN,Woody Allen,Woody Allen,UNITED STATES,10000000,10389003.0,Jack Rollins & Charles H. Joffe Productions,"89.0,"
Melvin and Howard,R,Comedy,1980,"September 19, 1980 (United States)",6.8,4500,JONATHAN DEMME,Bo Goldman,Paul Le Mat,UNITED STATES,7000000,4309490.0,Universal Pictures,"95.0,"
Bronco Billy,PG,Action,1980,"June 11, 1980 (United States)",6.1,11000,CLINT EASTWOOD,Dennis Hackin,Clint Eastwood,UNITED STATES,6500000,24265659.0,Warner Bros.,"116.0,"
City of Women,R,Comedy,1980,"April 8, 1981 (United States)",7.0,6700,FEDERICO FELLINI,Federico Fellini,Marcello Mastroianni,ITALY,0,12516.0,Opera Film Produzione,"139.0,"
When Time Ran Out...,PG,Action,1980,"March 28, 1980 (United States)",4.6,2600,JAMES GOLDSTONE,Gordon Thomas,Paul Newman,UNITED STATES,20000000,3763988.0,International Cinema,"121.0,"
Oh Heavenly Dog,PG,Comedy,1980,"July 11, 1980 (United States)",5.4,2400,JOE CAMP,Rod Browning,Chevy Chase,UNITED STATES,6000000,6216067.0,Mulberry Square Productions,"103.0,"
The Octagon,R,Action,1980,"August 15, 1980 (United States)",5.1,5200,ERIC KARSON,Leigh Chapman,Chuck Norris,UNITED STATES,4000000,18971000.0,American Cinema Productions,"103.0,"
Herbie Goes Bananas,G,Adventure,1980,"June 25, 1980 (United States)",5.0,5300,VINCENT MCEVEETY,Don Tait,Charles Martin Smith,UNITED STATES,0,18000000.0,Walt Disney Productions,"100.0,"
The Competition,PG,Drama,1980,"December 3, 1980 (United States)",6.7,1900,JOEL OLIANSKY,Joel Oliansky,Richard Dreyfuss,UNITED STATES,0,14287755.0,Rastar Films,"123.0,"
Honeysuckle Rose,PG,Drama,1980,"July 18, 1980 (United States)",6.3,1400,JERRY SCHATZBERG,Gösta Stevens,Willie Nelson,UNITED STATES,0,17815212.0,Major Studio Partners,"119.0,"
Resurrection,PG,Drama,1980,"September 26, 1980 (United States)",7.3,2800,DANIEL PETRIE,Lewis John Carlino,Ellen Burstyn,UNITED STATES,0,3910019.0,Universal Pictures,"103.0,"
Fatso,PG,Comedy,1980,"February 1, 1980 (United States)",6.3,2000,ANNE BANCROFT,Anne Bancroft,Dom DeLuise,UNITED STATES,0,7653061.0,Brooksfilms,"93.0,"
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,"August 8, 1980 (United States)",5.1,2000,PIERS HAGGARD,Rudy Dochtermann,Peter Sellers,UNITED STATES,0,10697276.0,Braun Entertainment Group,"100.0,"
Serial,R,Comedy,1980,"March 28, 1980 (United States)",6.6,915,BILL PERSKY,Cyra McFadden,Martin Mull,UNITED STATES,0,9870727.0,Paramount Pictures,"86.0,"
Hero at Large,PG,Comedy,1980,"February 8, 1980 (United States)",6.0,1500,MARTIN DAVIDSON,AJ Carothers,John Ritter,UNITED STATES,0,15934737.0,Kings Road Entertainment,"98.0,"
Wholly Moses!,PG,Comedy,1980,"June 13, 1980 (United States)",4.7,1800,GARY WEIS,Guy Thomas,Dudley Moore,UNITED STATES,0,14155617.0,Columbia Pictures,"103.0,"
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,"May 30, 1980 (United States)",7.3,2900,BILL MELENDEZ,Charles M. Schulz,Scott Beach,UNITED STATES,0,2013193.0,Lee Mendelson Film Productions,"75.0,"
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,"September 26, 1980 (United States)",5.5,965,MARTY FELDMAN,Marty Feldman,Marty Feldman,UNITED STATES,0,5215015.0,Universal Pictures,"97.0,"
Roadie,PG,Comedy,1980,"June 13, 1980 (United States)",5.2,1100,ALAN RUDOLPH,Big Boy Medlin,Meat Loaf,UNITED STATES,0,4226370.0,Alive Enterprises,"106.0,"
Just Tell Me What You Want,R,Comedy,1980,"January 18, 1980 (United States)",5.5,585,SIDNEY LUMET,Jay Presson Allen,Ali MacGraw,UNITED STATES,0,2086905.0,Warner Bros.,"112.0,"
The Last Flight of Noah's Ark,G,Adventure,1980,"June 25, 1980 (United States)",5.8,1300,CHARLES JARROTT,Ernest K. Gann,Elliott Gould,UNITED STATES,6000000,11000000.0,Walt Disney Productions,"97.0,"
Little Miss Marker,PG,Comedy,1980,"March 21, 1980 (United States)",6.3,1400,WALTER BERNSTEIN,Damon Runyon,Walter Matthau,UNITED STATES,0,6321392.0,Universal Pictures,"103.0,"
Willie & Phil,R,Comedy,1980,"August 15, 1980 (United States)",5.9,415,PAUL MAZURSKY,Jean Gruault,Michael Ontkean,UNITED STATES,5500000,4400000.0,Twentieth Century Fox,"115.0,"
Phobia,R,Drama,1980,"September 9, 1980 (United States)",4.0,546,JOHN HUSTON,Gary Sherman,Paul Michael Glaser,CANADA,5100000,59167.0,Borough Park Productions,"94.0,"
Windows,R,Drama,1980,"January 18, 1980 (United States)",4.8,643,GORDON WILLIS,Barry Siegel,Talia Shire,UNITED STATES,0,2128395.0,Mike Lobell Productions,"96.0,"
Loving Couples,PG,Comedy,1980,"October 24, 1980 (United States)",5.2,351,JACK SMIGHT,Martin Donovan,Shirley MacLaine,UNITED STATES,0,2806659.0,Time Life Films,"97.0,"
The King and the Mockingbird,Not Rated,Animation,1980,"March 19, 1980 (France)",7.9,4800,PAUL GRIMAULT,Hans Christian Andersen,Jean Martin,FRANCE,0,167451.0,Les Films Paul Grimault,"83.0,"
"Oh, God! Book II",PG,Comedy,1980,"October 3, 1980 (United States)",5.2,2100,GILBERT CATES,Josh Greenfeld,George Burns,UNITED STATES,0,14504277.0,Warner Bros.,"94.0,"
"Those Lips, Those Eyes",R,Comedy,1980,"August 15, 1980 (United States)",6.5,269,MICHAEL PRESSMAN,David Shaber,Frank Langella,UNITED STATES,0,804713.0,Herb Jaffe,"105.0,"
La Cage aux Folles II,R,Comedy,1980,"February 15, 1981 (United States)",5.8,1900,ÉDOUARD MOLINARO,Jean Poiret,Michel Serrault,FRANCE,0,6950125.0,Da.Ma. Cinematografica,"102.0,"
The Gong Show Movie,R,Comedy,1980,"May 23, 1980 (United States)",4.3,740,CHUCK BARRIS,Chuck Barris,Chuck Barris,UNITED STATES,0,6621520.0,Chuck Barris Productions,"89.0,"
Gilda Live,R,Comedy,1980,"March 28, 1980 (United States)",6.8,599,MIKE NICHOLS,Anne Beatts,Gilda Radner,UNITED STATES,0,2261507.0,Broadway Productions,"96.0,"
Why Would I Lie?,PG,Comedy,1980,"August 8, 1980 (United States)",6.5,211,LARRY PEERCE,Hollis Hodges,Treat Williams,UNITED STATES,0,1175855.0,Metro-Goldwyn-Mayer (MGM),"105.0,"
First Family,R,Comedy,1980,"December 25, 1980 (United States)",4.3,593,BUCK HENRY,Buck Henry,Bob Newhart,UNITED STATES,0,15198912.0,F.F. Associates,"97.0,"
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,"June 12, 1981 (United States)",8.4,905000,STEVEN SPIELBERG,Lawrence Kasdan,Harrison Ford,UNITED STATES,18000000,389925971.0,Paramount Pictures,"115.0,"
Body Heat,R,Crime,1981,"August 28, 1981 (United States)",7.4,32000,LAWRENCE KASDAN,Lawrence Kasdan,William Hurt,UNITED STATES,0,24058838.0,The Ladd Company,"113.0,"
An American Werewolf in London,R,Comedy,1981,"August 21, 1981 (United States)",7.5,97000,JOHN LANDIS,John Landis,David Naughton,UNITED KINGDOM,10000000,30669378.0,Polygram Pictures,"97.0,"
Escape from New York,R,Action,1981,"July 10, 1981 (United States)",7.2,131000,JOHN CARPENTER,John Carpenter,Kurt Russell,UNITED STATES,6000000,25244626.0,AVCO Embassy Pictures,"99.0,"
The Evil Dead,NC-17,Horror,1981,"April 15, 1983 (United States)",7.5,192000,SAM RAIMI,Sam Raimi,Bruce Campbell,UNITED STATES,350000,2956630.0,Renaissance Pictures,"85.0,"
Porky's,R,Comedy,1981,"March 19, 1982 (United States)",6.2,40000,BOB CLARK,Bob Clark,Dan Monahan,CANADA,2500000,111289673.0,Astral Bellevue Pathé,"94.0,"
Blow Out,R,Crime,1981,"July 24, 1981 (United States)",7.4,47000,BRIAN DE PALMA,Brian De Palma,John Travolta,UNITED STATES,18000000,12000000.0,Filmways Pictures,"108.0,"
Clash of the Titans,PG,Action,1981,"June 12, 1981 (United States)",6.9,42000,DESMOND DAVIS,Beverley Cross,Laurence Olivier,UNITED KINGDOM,15000000,41092328.0,Charles H. Schneer Productions,"118.0,"
Excalibur,R,Adventure,1981,"April 10, 1981 (United States)",7.4,59000,JOHN BOORMAN,Thomas Malory,Nigel Terry,UNITED KINGDOM,11000000,34971136.0,Cinema '84,"140.0,"
Mad Max 2,R,Action,1981,"May 21, 1982 (United States)",7.6,170000,GEORGE MILLER,Terry Hayes,Mel Gibson,AUSTRALIA,3000000,23668369.0,Kennedy Miller Productions,"96.0,"
Stripes,R,Comedy,1981,"June 26, 1981 (United States)",6.9,68000,IVAN REITMAN,Len Blum,Bill Murray,UNITED STATES,10000000,85297000.0,Columbia Pictures,"106.0,"
Possession,R,Drama,1981,"October 28, 1983 (United States)",7.4,27000,ANDRZEJ ZULAWSKI,Andrzej Zulawski,Isabelle Adjani,FRANCE,0,1113538.0,Gaumont,"124.0,"
The Cannonball Run,PG,Action,1981,"June 19, 1981 (United States)",6.2,34000,HAL NEEDHAM,Brock Yates,Burt Reynolds,UNITED STATES,18000000,72179579.0,Golden Harvest Company,"95.0,"
Thief,R,Action,1981,"March 27, 1981 (United States)",7.4,27000,MICHAEL MANN,Frank Hohimer,James Caan,UNITED STATES,5500000,11492915.0,Mann/Caan Productions,"123.0,"
Endless Love,R,Drama,1981,"July 17, 1981 (United States)",4.9,7600,FRANCO ZEFFIRELLI,Scott Spencer,Brooke Shields,UNITED STATES,0,32492674.0,PolyGram Filmed Entertainment,"116.0,"
Time Bandits,PG,Adventure,1981,"November 6, 1981 (United States)",7.0,60000,TERRY GILLIAM,Michael Palin,Sean Connery,UNITED KINGDOM,5000000,42368025.0,HandMade Films,"110.0,"
The Four Seasons,PG,Comedy,1981,"May 22, 1981 (United States)",6.8,4200,ALAN ALDA,Alan Alda,Alan Alda,UNITED STATES,0,50427646.0,Universal Pictures,"107.0,"
Friday the 13th Part 2,R,Horror,1981,"May 1, 1981 (United States)",6.1,61000,STEVE MINER,Ron Kurz,Betsy Palmer,UNITED STATES,1250000,21722776.0,Georgetown Productions Inc.,"87.0,"
Scanners,R,Horror,1981,"January 14, 1981 (United States)",6.8,51000,DAVID CRONENBERG,David Cronenberg,Jennifer O'Neill,CANADA,0,14225876.0,Canadian Film Development Corporation (CFDC),"103.0,"
For Your Eyes Only,PG,Action,1981,"June 26, 1981 (United States)",6.7,94000,JOHN GLEN,Richard Maibaum,Roger Moore,UNITED KINGDOM,28000000,54813222.0,Eon Productions,"127.0,"
Halloween II,R,Horror,1981,"October 30, 1981 (United States)",6.5,77000,RICK ROSENTHAL,John Carpenter,Jamie Lee Curtis,UNITED STATES,2500000,25533818.0,Dino De Laurentiis Company,"92.0,"
Taps,PG,Drama,1981,"December 25, 1981 (United States)",6.8,17000,HAROLD BECKER,Darryl Ponicsan,George C. Scott,UNITED STATES,14000000,35856053.0,Major Studio Partners,"126.0,"
Reds,PG,Biography,1981,"December 25, 1981 (United States)",7.3,21000,WARREN BEATTY,Warren Beatty,Warren Beatty,UNITED STATES,32000000,40382659.0,Barclays Mercantile Industrial Finance,"195.0,"
On Golden Pond,PG,Drama,1981,"February 12, 1982 (United States)",7.6,29000,MARK RYDELL,Ernest Thompson,Katharine Hepburn,UNITED STATES,0,119285432.0,IPC Films,"109.0,"
The Fox and the Hound,G,Animation,1981,"July 10, 1981 (United States)",7.3,87000,DIRECTORS,Daniel P. Mannix,Mickey Rooney,UNITED STATES,12000000,63456988.0,Walt Disney Animation Studios,"83.0,"
Chariots of Fire,PG,Biography,1981,"April 9, 1982 (United States)",7.2,56000,HUGH HUDSON,Colin Welland,Ben Cross,UNITED KINGDOM,5500000,59303359.0,Enigma Productions,"125.0,"
Absence of Malice,PG,Drama,1981,"December 18, 1981 (United States)",6.9,12000,SYDNEY POLLACK,Kurt Luedtke,Paul Newman,UNITED STATES,12000000,40716963.0,Columbia Pictures,"116.0,"
Tarzan the Ape Man,Approved,Adventure,1981,"July 24, 1981 (United States)",3.4,5300,JOHN DEREK,Tom Rowe,Bo Derek,UNITED STATES,6500000,36565280.0,Metro-Goldwyn-Mayer (MGM),"115.0,"
Victory,PG,Drama,1981,"July 31, 1981 (United States)",6.7,29000,JOHN HUSTON,Yabo Yablonsky,Michael Caine,UNITED KINGDOM,10000000,10853418.0,Lorimar Film Entertainment,"116.0,"
Arthur,PG,Comedy,1981,"July 17, 1981 (United States)",6.9,27000,STEVE GORDON,Steve Gordon,Dudley Moore,UNITED STATES,7000000,95461682.0,Orion Pictures,"97.0,"
My Dinner with Andre,PG,Biography,1981,"October 11, 1981 (United States)",7.8,19000,LOUIS MALLE,Wallace Shawn,Andre Gregory,UNITED STATES,0,5073.0,Saga Productions Inc.,"110.0,"
Caveman,PG,Comedy,1981,"April 17, 1981 (United States)",5.8,7300,CARL GOTTLIEB,Rudy De Luca,Ringo Starr,UNITED STATES,0,15965924.0,Estudios Churubusco Azteca S.A.,"91.0,"
History of the World: Part I,R,Comedy,1981,"June 12, 1981 (United States)",6.9,47000,MEL BROOKS,Mel Brooks,Mel Brooks,UNITED STATES,11000000,31672907.0,Brooksfilms,"92.0,"
The Howling,R,Horror,1981,"April 10, 1981 (United States)",6.6,32000,JOE DANTE,Gary Brandner,Dee Wallace,UNITED STATES,1000000,17985893.0,Embassy Pictures,"91.0,"
Dragonslayer,PG,Action,1981,"June 26, 1981 (United States)",6.7,16000,MATTHEW ROBBINS,Hal Barwood,Peter MacNicol,UNITED KINGDOM,18000000,14110013.0,Paramount Pictures,"109.0,"
Cutter's Way,R,Crime,1981,"February 10, 1982 (France)",6.9,5300,IVAN PASSER,Newton Thornburg,Jeff Bridges,UNITED STATES,3000000,1752634.0,Gurian Entertainment,"109.0,"
Quest for Fire,R,Adventure,1981,"February 12, 1982 (United States)",7.3,21000,JEAN-JACQUES ANNAUD,Gérard Brach,Everett McGill,CANADA,12500000,20962615.0,International Cinema Corporation (ICC),"100.0,"
The Final Conflict,R,Horror,1981,"March 20, 1981 (United States)",5.6,19000,GRAHAM BAKER,David Seltzer,Sam Neill,UNITED KINGDOM,5000000,20471382.0,Twentieth Century Fox,"108.0,"
Mommie Dearest,R,Biography,1981,"September 25, 1981 (United States)",6.7,15000,FRANK PERRY,Christina Crawford,Faye Dunaway,UNITED STATES,5000000,19032261.0,Paramount Pictures,"129.0,"
Private Lessons,R,Comedy,1981,"June 10, 1981 (United States)",5.2,3400,ALAN MYERSON,Dan Greenburg,Sylvia Kristel,UNITED STATES,2800000,26279000.0,Barry & Enright Productions,"87.0,"
The Postman Always Rings Twice,R,Crime,1981,"March 20, 1981 (United States)",6.6,22000,BOB RAFELSON,David Mamet,Jack Nicholson,WEST GERMANY,12000000,12376625.0,CIP Filmproduktion GmbH,"122.0,"
Ragtime,PG,Drama,1981,"December 25, 1981 (United States)",7.3,9000,MILOS FORMAN,E.L. Doctorow,James Cagney,UNITED STATES,0,14920781.0,Dino De Laurentiis Company,"155.0,"
Deadly Blessing,R,Horror,1981,"August 14, 1981 (United States)",5.6,5200,WES CRAVEN,Glenn M. Benest,Maren Jensen,UNITED STATES,2500000,8279042.0,PolyGram Filmed Entertainment,"100.0,"
Eyewitness,R,Crime,1981,"February 13, 1981 (United States)",6.0,4500,PETER YATES,Steve Tesich,William Hurt,UNITED STATES,8500000,6400000.0,Twentieth Century Fox,"103.0,"
Gallipoli,PG,Adventure,1981,"August 28, 1981 (United States)",7.4,38000,PETER WEIR,David Williamson,Mel Gibson,AUSTRALIA,0,5732587.0,R&R Films,"110.0,"
Outland,R,Action,1981,"May 22, 1981 (United States)",6.6,28000,PETER HYAMS,Peter Hyams,Sean Connery,UNITED KINGDOM,16000000,17374595.0,The Ladd Company,"109.0,"
S.O.B.,R,Comedy,1981,"July 1, 1981 (United States)",6.4,5700,BLAKE EDWARDS,Blake Edwards,Julie Andrews,UNITED STATES,12000000,14867086.0,Artista Management,"122.0,"
The Beyond,R,Horror,1981,"November 11, 1983 (United States)",6.8,21000,LUCIO FULCI,Dardano Sacchetti,Catriona MacColl,ITALY,400000,123843.0,Fulvia Film,"87.0,"
Ghost Story,R,Drama,1981,"December 18, 1981 (United States)",6.3,7900,JOHN IRVIN,Peter Straub,Craig Wasson,UNITED STATES,0,23371905.0,Universal Pictures,"110.0,"
My Bloody Valentine,R,Horror,1981,"February 11, 1981 (United States)",6.3,19000,GEORGE MIHALKA,Stephen A. Miller,Paul Kelman,CANADA,0,5672031.0,Canadian Film Development Corporation (CFDC),"90.0,"
The Funhouse,R,Horror,1981,"March 13, 1981 (United States)",5.9,13000,TOBE HOOPER,Lawrence J. Block,Elizabeth Berridge,UNITED STATES,0,7886857.0,Universal Pictures,"96.0,"
One from the Heart,R,Drama,1981,"February 11, 1982 (United States)",6.5,5700,FRANCIS FORD COPPOLA,Armyan Bernstein,Frederic Forrest,UNITED STATES,26000000,636796.0,Zoetrope Studios,"107.0,"
The French Lieutenant's Woman,R,Drama,1981,"October 16, 1981 (United States)",7.0,13000,KAREL REISZ,John Fowles,Meryl Streep,UNITED KINGDOM,0,26890068.0,Juniper Films,"124.0,"
The Great Muppet Caper,G,Adventure,1981,"June 26, 1981 (United States)",7.2,14000,JIM HENSON,Tom Patchett,Jim Henson,UNITED KINGDOM,0,31206251.0,Henson Associates (HA),"97.0,"
True Confessions,R,Crime,1981,"September 25, 1981 (United States)",6.3,7500,ULU GROSBARD,John Gregory Dunne,Robert De Niro,UNITED STATES,10000000,12850276.0,Chartoff-Winkler Productions,"108.0,"
Nighthawks,R,Action,1981,"April 10, 1981 (United States)",6.4,18000,BRUCE MALMUTH,David Shaber,Sylvester Stallone,UNITED STATES,5000000,19905359.0,Universal Pictures,"99.0,"
Nice Dreams,R,Comedy,1981,"June 5, 1981 (United States)",6.2,7100,TOMMY CHONG,Tommy Chong,Cheech Marin,UNITED STATES,0,37000000.0,C & C Brown Production,"88.0,"
Sharky's Machine,R,Action,1981,"December 18, 1981 (United States)",6.3,5600,BURT REYNOLDS,William Diehl,Burt Reynolds,UNITED STATES,0,35610100.0,Deliverance Productions,"122.0,"
